source	v1	target	v2	r0	b
Zn	2	N	-3	1.77	0.37
Zn	2	O	-2	1.6877	0.381
Zn	2	P	-3	2.15	0.37
Zn	2	S	-2	2.09	0.37
Zn	2	Se	-2	2.22	0.37
Zn	2	Te	-2	2.45	0.37
Zr	4	As	-3	2.57	0.37
Zr	4	Br	-1	2.48	0.37
Zr	4	Cl	-1	2.33	0.37
Zr	4	F	-1	1.85	0.37
Zr	4	H	-1	1.79	0.37
Zr	4	I	-1	2.69	0.37
Zr	4	N	-3	2.11	0.37
Zr	4	O	-2	1.926	0.382
Zr	4	P	-3	2.52	0.37
Zr	4	S	-2	2.41	0.37
Zr	4	Se	-2	2.53	0.37
Zr	4	Te	-2	2.67	0.37
